端末推定,月,relevant_file_count
12G,2025-04,1
12G,2025-06,1
12G,2025-07,23
12G,2025-08,139
12G,2025-09,7
12G,2025-10,391
12G,2025-11,414
12G,2025-12,262
12G,2026-05,1
15G,2025-07,7
15G,2025-09,10
15G,2025-10,771
15G,2025-11,666
15G,2025-12,571
15G,2026-03,139
Friend,2023-10,3
Friend,2023-11,5
Friend,2024-11,4
Friend,2024-12,3
Friend,2025-11,287
Friend,2025-12,40
iPad,2025-10,1
iPad,2025-11,4
iPad,2025-12,27
iPhone11Pro,2025-01,4
iPhone11Pro,2025-02,12
iPhone11Pro,2025-03,6
iPhone11Pro,2025-04,10
iPhone11Pro,2025-05,14
iPhone11Pro,2025-06,5
iPhone11Pro,2025-08,6
iPhone11Pro,2025-09,13
iPhone11Pro,2025-10,277
iPhone11Pro,2025-11,415
iPhone11Pro,2025-12,407
iPhone15 Pro,2025-06,7
mini1,2025-06,7
mini1,2025-07,2
mini1,2025-09,1
mini1,2025-10,400
mini1,2025-11,473
mini1,2025-12,457
mini2,2025-06,1
mini2,2025-07,4
mini2,2025-08,821
mini2,2025-09,2
mini2,2025-10,403
mini2,2025-11,363
mini2,2025-12,254
