端末推定,日付,trust_context_rows
12G,2025-10-22,56878
12G,2025-09-22,3943
12G,2025-10-06,2141
12G,2025-10-23,1029
12G,2025-11-14,892
12G,2025-10-27,872
12G,2025-10-13,722
12G,2025-10-17,530
12G,2025-10-31,510
12G,2025-11-20,508
12G,2025-10-11,501
12G,2025-10-03,499
12G,2025-10-02,497
12G,2025-11-01,496
12G,2025-11-22,495
12G,2025-10-19,491
12G,2025-11-21,491
12G,2025-10-10,490
12G,2025-11-16,486
12G,2025-10-30,480
12G,2025-10-04,478
12G,2025-10-07,478
12G,2025-11-24,477
12G,2025-11-11,466
12G,2025-10-29,455
12G,2025-10-01,442
12G,2025-10-05,435
12G,2025-10-09,427
12G,2025-11-02,423
12G,2025-10-25,420
12G,2025-10-21,407
12G,2025-10-08,404
12G,2025-11-13,395
12G,2025-11-23,372
12G,2025-11-18,371
12G,2025-11-19,367
12G,2025-11-27,354
12G,2025-10-16,57
12G,2025-11-17,8
