端末推定,exact_manifestdb_count,sqlite_header_count,sqlite_open_ok_count,opaque_manifestdb_count,unique_hash_count,unique_size_count,transition_count,backup_context_rows_from_56,inheritance_score,判定
12G,24,0,0,24,17,16,23,199881,90,STRONG_BACKUP_MANIFEST_INHERITANCE_DEVICE
mini1,26,7,7,19,23,22,25,0,85,STRONG_BACKUP_MANIFEST_INHERITANCE_DEVICE
iPad,26,0,0,26,16,16,25,0,75,STRONG_BACKUP_MANIFEST_INHERITANCE_DEVICE
iPhone11,18,0,0,18,17,16,17,0,75,STRONG_BACKUP_MANIFEST_INHERITANCE_DEVICE
Friend,13,0,0,13,10,7,12,0,71,MEDIUM_BACKUP_MANIFEST_INHERITANCE_DEVICE
15G,12,0,0,12,9,9,11,0,69,MEDIUM_BACKUP_MANIFEST_INHERITANCE_DEVICE
mini2,12,0,0,12,10,10,11,0,69,MEDIUM_BACKUP_MANIFEST_INHERITANCE_DEVICE
iPhone13,4,0,0,4,3,3,3,0,29,WEAK_BACKUP_MANIFEST_INHERITANCE_DEVICE
iPhone15 Pro,2,0,0,2,2,2,1,0,13,LOW_BACKUP_MANIFEST_INHERITANCE_DEVICE
