クラスタ端末,クラスタ時刻,日付,physical_score,telecom_score,cloud_score,physical_wifi,bluetooth_nearby,cellular_baseband,location_motion,cloud_trust,backup_manifest,evidence_pressure,separation_hint,61評価
HaThao,2025-08-04 00:14:28,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
15G,2025-08-04 01:07:45,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
Vy,2025-08-04 01:28:42,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
HaThao_Mother,2025-08-04 01:37:13,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
mini1,2025-08-04 02:51:55,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
mini2,2025-08-04 04:29:56,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
12G,2025-08-04 05:32:14,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
Ibuki,2025-08-04 07:03:18,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
Ngoc,2025-08-04 07:34:25,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
iPhone11Pro,2025-08-04 12:27:46,2025-08-04,0,0,0,0,0,0,0,0,0,0,NO_VISIBLE_ROW,NO_STRONG_VISIBLE_SUPPORT
