端末推定,分類,combined_abnormal_structure_score,band,63役割,baseline_review
12G,USER_CORE,94,VERY_STRONG,STRONG_ABNORMAL_STRUCTURE_DEVICE,user core主戦場。通常説明stress対象
15G,USER_CORE,51,MEDIUM,WEAK_ABNORMAL_STRUCTURE_DEVICE,user core補助線
mini1,USER_CORE,51,MEDIUM,WEAK_ABNORMAL_STRUCTURE_DEVICE,user core補助線
iPad,USER_CORE,33,WEAK,LOW_OR_CONTROL_LIKE_DEVICE,user coreだが63上は弱い
iPhone11Pro,USER_CORE,27,WEAK,LOW_OR_CONTROL_LIKE_DEVICE,user coreだが63上は弱い
iPhone11,OTHER,21,LOW,LOW_OR_CONTROL_LIKE_DEVICE,分類外。補助のみ
Friend,COMPARISON_OR_CONTROL,19,LOW,LOW_OR_CONTROL_LIKE_DEVICE,低スコア。control-like baselineとして使いやすい
mini2,USER_CORE,19,LOW,LOW_OR_CONTROL_LIKE_DEVICE,user coreだが63上は弱い
iPhone13,COMPARISON_OR_CONTROL,8,LOW,LOW_OR_CONTROL_LIKE_DEVICE,低スコア。control-like baselineとして使いやすい
iPhone15 Pro,COMPARISON_OR_CONTROL,3,LOW,LOW_OR_CONTROL_LIKE_DEVICE,低スコア。control-like baselineとして使いやすい
