端末推定,分類,63_score,recomputed_score,score_diff,diff_status,63_trust_score,recomputed_trust_score,63_backup_manifest_score,recomputed_backup_manifest_score,63_separation_score,recomputed_separation_score,63_evidence_pressure_score,recomputed_evidence_pressure_score,63_role,recomputed_role,trust_source_role,backup_source_role,proximity_source_role,evidence_source_role
12G,USER_CORE,94,94,0,MATCH,84,84,90,90,100,100,100,100,STRONG_ABNORMAL_STRUCTURE_DEVICE,STRONG_ABNORMAL_STRUCTURE_DEVICE,CORE_TRUST_GRAPH_DEVICE,CORE_BACKUP_CONTEXT_DEVICE,MIXED_PROXIMITY_CLOUD_DEVICE,STRONG_EVIDENCE_PRESSURE_DEVICE
15G,USER_CORE,51,51,0,MATCH,0,0,69,69,0,0,100,100,WEAK_ABNORMAL_STRUCTURE_DEVICE,WEAK_ABNORMAL_STRUCTURE_DEVICE,FILE_DENSE_CONTEXT_WEAK_DEVICE,MEDIUM_BACKUP_MANIFEST_DEVICE,WEAK_OR_LOW_VISIBLE_DEVICE,STRONG_EVIDENCE_PRESSURE_DEVICE
mini1,USER_CORE,51,51,0,MATCH,0,0,85,85,0,0,85,85,WEAK_ABNORMAL_STRUCTURE_DEVICE,WEAK_ABNORMAL_STRUCTURE_DEVICE,FILE_DENSE_CONTEXT_WEAK_DEVICE,CORE_SQLITE_OPAQUE_TRANSITION_DEVICE,WEAK_OR_LOW_VISIBLE_DEVICE,STRONG_EVIDENCE_PRESSURE_DEVICE
iPad,USER_CORE,33,34,1,MINOR_DIFF,0,0,75,75,0,0,40,40,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,AUXILIARY_DEVICE,STRONG_BACKUP_MANIFEST_DEVICE,,WEAK_EVIDENCE_PRESSURE_DEVICE
iPhone11Pro,USER_CORE,27,27,0,MATCH,0,0,0,0,0,0,85,85,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,FILE_DENSE_CONTEXT_WEAK_DEVICE,,,STRONG_EVIDENCE_PRESSURE_DEVICE
iPhone11,OTHER,21,21,0,MATCH,0,0,75,75,0,0,0,0,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,,STRONG_BACKUP_MANIFEST_DEVICE,,
Friend,COMPARISON_OR_CONTROL,19,20,1,MINOR_DIFF,0,0,71,71,0,0,0,0,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,AUXILIARY_DEVICE,MEDIUM_BACKUP_MANIFEST_DEVICE,,
mini2,USER_CORE,19,19,0,MATCH,0,0,69,69,0,0,0,0,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,FILE_DENSE_CONTEXT_WEAK_DEVICE,MEDIUM_BACKUP_MANIFEST_DEVICE,,
iPhone13,COMPARISON_OR_CONTROL,8,8,0,MATCH,0,0,29,29,0,0,0,0,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,,LOW_BACKUP_MANIFEST_DEVICE,,
iPhone15 Pro,COMPARISON_OR_CONTROL,3,4,1,MINOR_DIFF,0,0,13,13,0,0,0,0,LOW_OR_CONTROL_LIKE_DEVICE,LOW_OR_CONTROL_LIKE_DEVICE,AUXILIARY_DEVICE,LOW_BACKUP_MANIFEST_DEVICE,,
