process_or_marker,hit_count,device_breakdown
jetsam,187974,12G:78172;iPad:1592;15G:70376;iPhone11Pro:27570;mini1:10264
cpu_resource,36492,12G:12274;iPad:73;15G:17920;iPhone11Pro:5475;mini1:750
manifest,35770,12G:35765;15G:1;mini1:4
analyticsd,23778,12G:21704;iPad:14;15G:718;iPhone11Pro:308;mini1:1034
diskwrites,18928,12G:4126;15G:8574;iPhone11Pro:979;mini1:5249
backupd,7530,12G:106;iPad:1;15G:2552;iPhone11Pro:4268;mini1:603
snapshot,6073,12G:5256;iPad:64;15G:490;iPhone11Pro:168;mini1:95
parsecd,5578,12G:1054;iPad:9;15G:3561;iPhone11Pro:796;mini1:158
thermal,5014,12G:307;iPad:14;15G:1096;iPhone11Pro:229;mini1:3368
cloudd,4018,12G:2502;iPad:10;15G:1128;iPhone11Pro:228;mini1:150
logd,3591,12G:608;iPad:9;15G:1192;iPhone11Pro:460;mini1:1322
wechat,3567,iPad:4;15G:63;iPhone11Pro:15;mini1:3485
suggestd,2488,12G:1422;iPad:3;15G:632;iPhone11Pro:75;mini1:356
duetexpertd,2360,12G:602;iPad:14;15G:1168;iPhone11Pro:113;mini1:463
deleted,1453,12G:354;iPad:8;15G:744;iPhone11Pro:182;mini1:165
watchdog,1340,12G:367;iPad:83;15G:441;iPhone11Pro:311;mini1:138
coreduetd,851,12G:171;iPad:3;15G:185;iPhone11Pro:75;mini1:417
searchd,767,12G:142;iPad:3;15G:473;iPhone11Pro:75;mini1:74
managedsettings,432,12G:171;iPad:7;15G:118;iPhone11Pro:91;mini1:45
screentime,363,12G:111;iPad:3;15G:143;iPhone11Pro:66;mini1:40
pasted,328,12G:72;iPad:3;15G:167;iPhone11Pro:67;mini1:19
familycontrols,113,12G:50;15G:41;iPhone11Pro:7;mini1:15
